,Name,Lyrics
15,christmases when you were mine,"

please take down the misletoe
cause i don't wanna think about that right now
cause everything i want is miles away
in a snow covered little town
my momma's in the kitchen, worrying about me
season's greetings, hope you're well
well i'm doing alright
if you were wondering
lately i can never tell

i know this shouldn't be a lonely time
but there were christmases when you were mine

i've been doing fine without you, really
up until the nights got cold
and everybody's here, except you, baby
seems like everyone's got someone to hold

but for me it's just a lonely time
cause there were christmases when you were mine

merry christmas everybody
that'll have to be something i just say this year
i'll bet you got your mom another sweater
and were your cousins late again
when you were putting up the lights this year
did you notice one less pair of hands

i know this shouldn't be a lonely time
but there were christmases when i didn't wonder how you are tonight
cause there were christmases when you were mine

you were mine
"
16,santa baby,"

santa baby, slip a sable under the tree for me
i've been an awful good girl, santa baby
so hurry down the chimney tonight

santa baby, a '54 convertible, too, light blue
well, i'll wait up for you, dear, santa baby
so hurry down the chimney tonight, yeah

think of all the fun i've missed
think of all the boys i haven't kissed
next year i could be just as good
if you check off my christmas list

santa baby, i want a yacht and really that's not a lot
i've been an angel all year, santa baby
so hurry down the chimney tonight

santa, honey, there's one more thing i really do need,
the deed
to a platinum mine, santa honey
so hurry down the chimney tonight

come and trim my christmas tree
with some decorations bought at tiffany's
i really do believe in you
let's see if you believe in me

santa baby, forgot to mention one little thing
a ring
and i don't mean on the phone, santa baby
so hurry down the chimney tonight
"
17,silent night,"

silent night, holy night
all is calm and all is bright
round yon virgin mother and child
holy infant so tender and mild
sleep in heavenly peace
sleep in heavenly peace

silent night, holy night
shepherds quake at the sight
glories stream from heaven afar
heavenly hosts sing hallelujah
christ the savior is born
christ our savior is born

silent night, holy night
son of god
love's pure light
radiant beams from thy holy face
with the dawn of redeeming grace
jesus lord at thy birth
jesus lord at thy birth

hallelujah!
hallelujah!
hallelujah!

christ the savior is born
"
18,christmas must be something more,"

what if ribbons and bows didn't mean a thing?
would the song still survive without five golden rings?
would you still wanna kiss without mistletoe?
what would happen if god never let it snow?
what would happen if christmas carols told a lie?
tell me what would you find

you'd see that today holds something special
something holy, not superficial
so here's to the birthday boy who saved our lives
it's something we all try to ignore
and put a wreath up on your door
so here's something you should know that is for sure
christmas must be something more

what if angels did not pay attention to
all the things that we wished they would always do?
what if happiness came in a cardboard box?
then i think there is something we all forgot
what would happen if presents all went away?
tell me what would you find

you'd see that today holds something special
something holy, not superficial
so here's to the birthday boy who saved our lives
it's something we all try to ignore
and put a wreath up on your door
so here's something you should know that is for sure
christmas must be something more

we get so caught up in all of it
business and relationships
hundred mile an hour lives
and it's this time of year
and everybody's here
it seems the last thing on your mind

is that the day holds something special
something holy, not superficial?
so here's to jesus christ who saved our lives
it's something we all try to ignore
and put a wreath up on your door
but here's something you should know that is for sure
christmas must be something
christmas must be something
christmas must be something more

there's gotta be more
there's gotta be more
"
19,white christmas,"

i'm dreaming of a white christmas
just like the ones i used to know
where the tree tops glisten and children listen
to hear sleigh bells in the snow

i'm dreaming of a white christmas
with every christmas card i write
may your days be merry and bright
and may all your christmases be white

i'm dreaming of a white christmas
just like the ones i used to know
so may your days be merry and bright
and may all your christmases be white

may your days be merry and bright
and may all your christmases be white
"
20,jump then fall,"

i like the way you sound in the morning
we're on the phone and without a warning
i realize your laugh is the best sound
i have ever heard

i like the way i can't keep my focus
i watch you talk, you didn't notice
i hear the words but all i can think is
we should be together
every time you smile, i smile
and every time you shine, i'll shine for you

whoa, oh, i'm feeling you baby
don't be afraid to
jump then fall
jump then fall into me
baby, i'm never gonna leave you
say that you wanna be with me too
'cause i'mma stay through it all
so jump then fall

well, i like the way your hair falls in your face
you got the keys to me
i love each freckle on your face, oh
i've never been so wrapped up, honey
i like the way you're everything i ever wanted

i had time to think it all over
and all i can say is come closer
take a deep breath then jump then fall into me
cause every time you smile, i smile
and every time you shine, i'll shine for you

whoa, oh, i'm feeling you baby
don't be afraid to
jump then fall
jump then fall into me
baby, i'm never gonna leave you
say that you wanna be with me too
'cause i'mma stay through it all
so jump then fall

the bottom's gonna drop out from under our feet
i'll catch you, i'll catch you
when people say things that bring you to your knees
i'll catch you
the time is gonna come when you're so mad you could cry
but i'll hold you through the night until you smile

whoa, oh, i need you baby
don't be afraid, please,
jump then fall
jump then fall into me
baby, i'm never gonna leave you
say that you wanna be with me too
'cause i'mma stay through it all
so jump then fall
jump then fall, baby,
jump then fall into me, into me

every time you smile, i smile
and every time you shine, i'll shine
and every time you're here
baby i'll show you, i'll show you
you can jump then fall, jump then fall
jump then fall into me, into me, yeah
"
21,untouchable,"

untouchable like a distant diamond sky,
i'm reaching out and i just can't tell you why
i'm caught up in you,
i'm caught up in you

untouchable, burning brighter than the sun
and when you're close i feel like coming undone

in the middle of the night
when i'm in this dream
it's like a million little stars
spelling out your name
you gotta come on, come on
say that we'll be together
come on, come on
little taste of heaven

it's half full, and i won't wait here all day
i know you're saying that you'd be here anyway

but you're untouchable, burning brighter than the sun
and now that you're close i feel like coming undone

in the middle of the night
when i'm in this dream
it's like a million little stars
spelling out your name
you gotta come on, come on
say that we'll be together
come on, come on

oh, in the middle of the night
waking from this dream
i wanna feel you by my side
standing next to me
you gotta come on, come on
say that we'll be together
come on, come on
little taste of heaven

i'm caught up in you. oh, oh.

but you're untouchable, burning brighter than the sun
now that you're close i feel like coming undone

in the middle of the night
when i'm in this dream
it's like a million little stars
spelling out your name
you gotta come on, come on
say that we'll be together
come on, come on, oh, oh

in the middle of the night
when i'm in this dream
it's like a million little stars
spelling out your name
you gotta come on, come on
say that we'll be together
come on, come on, come on

in the middle of the night
waking from this dream
i wanna feel you by my side
standing next to me
you gotta come on, come on
say that we'll be together
come on, come on
little taste of heaven

in the middle of the night
when i'm in this dream
it's like a million little stars
spelling out your name
you gotta come on, come on
come on, come on
come on, come on

like a million little stars
spelling out your name
spelling out your name
"
22,forever & always (piano version),"

once upon a time
i believe it was a tuesday when i caught your eye
and we caught onto something
i hold onto the night
you looked me in the eye and told me you loved me
were you just kidding cause it seems to me
this thing is breaking down, we almost never speak
i don't feel welcome anymore
baby, what happened, please tell me
cause one second it was perfect
now you're half way out the door

and i stare at the phone
he still hasn't called
and then you feel so low
you can't feel nothing at all
and you flashback to
when he said forever and always
oh, and it rains in your bedroom
everything is wrong
it rains when you're here
and it rains when you're gone
i was there when you said forever and always

was i out of line?
did i say something way too honest?
made you run and hide like a scared little boy
i looked into your eyes
thought i knew you for a minute now i'm not so sure
so here's to everything coming down to nothing
here's to silence that cuts me to the core
where is this going?
thought i knew for a minute but i don't anymore

and i stare at the phone
he still hasn't called
and then you feel so low
you can't feel nothing at all
and you flashback to
when he said forever and always
and it rains in your bedroom
everything is wrong
it rains when you're here
and it rains when you're gone
i was there when you said forever and always

you didn't mean it baby
i don't think so, oh oh oh
back up, baby back up
did you forget everything?
back up, baby back up
did you forget everything?

back up, baby back up
please back up, oh back up
back up, baby back up

cause it rains in your bedroom
everything is wrong
it rains when you're here
and it rains when you're gone
i was there when you said forever and always

and i stare at the phone
he still hasn't called
and then you feel so low
you can't feel nothing at all
and you flashback to
when we said forever and always
cause it rains in your bedroom
everything is wrong
it rains when you're here
and it rains when you're gone
i was there when you said forever and always

you didn't mean it baby
you said forever and always, yeah
"
23,come in with the rain,"

i could go back to every laugh
but i don't wanna' go there anymore
and i know all the steps up to your door
but i don't wanna' go there anymore

talk to the wind, talk to the sky
talk to the man with the reasons why
and let me know what you find

i'll leave my window open
'cause i'm too tired at night to call your name
just know i'm right here hopin'
that you'll come in with the rain

i could stand up and sing you a song
but i don't wanna' have to go that far
and i, i've got you down
i know you by heart
and you don't even know where i start

talk to yourself, talk to the tears
talk to the man who put you here
and don't wait for the sky to clear

i'll leave my window open
'cause i'm too tired at night to call your name
oh, just know i'm right here hopin'
that you'll come in with the rain

i've watched you so long
screamed your name
i don't know what else i can say

but i'll leave my window open
'cause i'm too tired at night for all these games
just know i'm right here hopin'
that you'll come in with the rain

i could go back to every laugh
but i don't wanna' go there anymore…
"
24,superstar,"

this is wrong but i can't help but feel like
there ain't nothing more right babe
misty morning comes again and i can't
help but wish i could see your face
and i knew from the first note played
i'd be breaking all my rules to see you
you smile that beautiful smile and
all the girls in the front row scream your name

so dim that spotlight, tell me things like
i can't take my eyes off of you
i'm no one special, just another
wide eyed girl who's desperately in love with you
give me a photograph to hang on my wall, superstar

morning loneliness, comes around when i'm not
dreaming about you
when my world wakes up today
you'll be in another town
and i knew when i saw your face, i'd be
counting down the ways to see you
you smile that beautiful smile and
all the girls in the front row scream your name

so dim that spotlight, tell me things like
i can't take my eyes off of you
i'm no one special, just another
wide eyed girl who's desperately in love with you
give me a photograph to hang on my wall, superstar

you played in bars, you play guitar
i'm invisible and everyone knows who you are
and you'll never see, you sing me to sleep
every night from the radio

so dim that spotlight, tell me things like
i can't take my eyes off of you
i'm no one special, just another
wide eyed girl who's desperately in love with you
give me a photograph to hang on my wall, superstar
sweet, sweet superstar, superstar
"
25,the other side of the door,"

in the heat of the fight i walked away
ignoring words that you were saying
trying to make me stay
i said, ""this time i've had enough.""
and you've called a hundred times
but i'm not picking up

'cause i'm so mad i might tell you that it's over
but if you look a little closer

i said, ""leave,"" but all i really want is you
to stand outside my window throwing pebbles
screaming, ""i'm in love with you.""
wait there in the pouring rain, come back for more
and don't you leave 'cause i know
all i need is on the other side of the door

me and my stupid pride are sitting here alone
going through the photographs, staring at the phone
i keep going back over things we both said
and i remember the slamming door and all the things that i misread

so babe if you know everything, tell me why you couldn't see
when i left i wanted you to chase after me

yeah, i said, ""leave,"" but all i really want is you
to stand outside my window throwing pebbles
screaming, ""i'm in love with you.""
wait there in the pouring rain, come back for more
and don't you leave 'cause i know
all i need is on the other side of the door

and i'll scream out the window
i can't even look at you
i don't need you but i do, i do, i do
i say, ""there's nothing you can say to make this right again.
i mean it, i mean it.""
what i mean is...

i said, ""leave,"" but baby all i want is you
to stand outside my window throwing pebbles
screaming, ""i'm in love with you.""
wait there in the pouring rain, come back for more
and don't you leave 'cause i know
all i need is on the other side of the door

with your face and the beautiful eyes
and the conversation with the little white lies
and the faded picture of a beautiful night
you carry me from your car up the stairs
and i broke down crying, was she worth this mess?
after everything and that little black dress
after everything i must confess, i need you
"
26,fearless,"

there's somethin' 'bout the way
the street looks when it's just rained
there's a glow off the pavement
you walk me to the car
and you know i wanna ask you to dance right there
in the middle of the parking lot
yeah
oh yeah

we're drivin' down the road
i wonder if you know
i'm tryin' so hard not to get caught up now
but you're just so cool
run your hands through your hair
absent-mindedly makin' me want you

and i don't know how it gets better than this
you take my hand and drag me head first
fearless
and i don't know why but with you i'd dance in a storm in my best dress
fearless

so, baby, drive slow
'til we run out of road in this one horse town
i wanna stay right here in this passenger's seat
you put your eyes on me
in this moment now capture it, remember it

'cause i don't know how it gets better than this
you take my hand and drag me head first
fearless
and i don't know why but with you i'd dance in a storm in my best dress
fearless

well, you stood there with me in the doorway
my hands shake
i'm not usually this way
but you pull me in and i'm a little more brave
it's the first kiss,
it's flawless,
really something,
it's fearless.

oh yeah

'cause i don't know how it gets better than this
you take my hand and drag me head first
fearless
and i don't know why but with you i'd dance in a storm in my best dress
fearless

'cause i don't know how it gets better than this
you take my hand and drag me head first
fearless
and i don't know why but with you i'd dance in a storm in my best dress
fearless

oh-oh
oh yeah
"
27,fifteen,"

you take a deep breath and you walk through the doors
it's the morning of your very first day
you say ""hi"" to your friends you ain't seen in a while
try and stay out of everybody's way
it's your freshman year and you're gonna be here
for the next four years in this town
hoping one of those senior boys will wink at you and say,
""you know i haven't seen you around before.""

'cause when you're fifteen and somebody tells you they love you
you're gonna believe them
and when you're fifteen
feeling like there's nothing to figure out
well, count to ten, take it in
this is life before you know who you're gonna be
fifteen

you sit in class next to a redhead named abigail
and soon enough you're best friends
laughing at the other girls who think they're so cool
we'll be out of here as soon as we can
and then you're on your very first date and he's got a car
and you're feeling like flying
and your mamma's waiting up and you're thinking he's the one
and you're dancing 'round your room when the night ends
when the night ends

'cause when you're fifteen and somebody tells you they love you
you're gonna believe them
when you're fifteen
and your first kiss makes your head spin round
but in your life you'll do things greater than dating the boy on the football team
but i didn't know it at fifteen

when all you wanted was to be wanted
wish you could go back and tell yourself what you know now

back then i swore i was gonna marry him someday
but i realized some bigger dreams of mine
and abigail gave everything she had to a boy who changed his mind
and we both cried

'cause when you're fifteen and somebody tells you they love you
you're gonna believe them
and when you're fifteen
don't forget to look before you fall
i've found time can heal most anything
and you just might find who you're supposed to be
i didn't know who i was supposed to be at fifteen

la, la, la, la, la, la, la
la, la, la, la, la, la, la
la, la, la, la, la, la, la

your very first day
take a deep breath, girl
take a deep breath as you walk through the doors.
"
